#兼容所有拼音类型的公共简码库	
gj	感觉	根据	关键
xje	心劲儿
ysh	有时候
ywh	有文化	亚文化
ywl	员外郎
adu	爱迪生
adz	安钉子
aet	阿尔泰
afe	爱范儿
agq	熬过去
agx	爱国心
agz	矮个子
ahq	安魂曲
ahr	安徽人
aii	暗沉沉
aiz	阿昌族
ajf	安家费
ajj	安监局
akl	安卡拉	拗口令
akm	奥卡姆
alt	阿勒泰
amb	阿米巴
ame	埃米尔
amj	凹面镜
amn	阿玛妮
amr	澳门人
apg	安排给
apu	安排上
aqb	安全部
aqe	安琪儿
aqf	安全阀
aqm	安全门
aqt	安全套
aqy	爱奇艺
arz	熬日子
ast	奥斯汀
atp	阿托品
aul	爱上了
aux	按顺序
avp	安装盘
awj	安慰剂
aww	艾窝窝
axb	癌细胞
axs	氨溴索
ayc	奥运村
bax	白矮星
baz	保安族
bbc	八宝菜
bbe	宝贝儿
bbf	背包袱
bbg	比不过
bbr	半边人
bbs	并不是
bbw	北部湾
bct	波茨坦
bfb	不方便	百分百	百分比
bfd	百分点
bfe	变法儿
bfr	本分人
bfv	百分之	并发症
bgb	不敢不
bgf	笨功夫
bgg	不过关
bgh	报告会
bgj	白骨精	不干胶
bgt	包工头	办公厅
bgu	办公室	不过是
bgw	别管我
bgx	不甘心	不高兴	被告席
bgz	笔杆子	半个字
bhc	保护层
bhd	北海道
bhf	病号饭
bhg	不合格	背黑锅
bhm	巴哈马
bhp	保皇派
bhr	不好惹
bhs	不划算	保护伞
bhu	不合适	不好说
bhv	被害者
bhw	白话文
bip	半成品
bjc	保健操
bjd	不见得	不觉得
bje	不就是
bjg	不及格
bji	捕鲸船
bjj	不仅仅
bjl	不见了	冰激凌
bjm	不结盟
bjp	保健品
bjr	不尽然	北京人
bjv	八进制
bkm	宝可梦
bkp	不靠谱
bku	不愧是	白开水
ble	鼻梁儿
bln	不理你	百灵鸟
bmd	白名单
bme	白木耳
bmf	白米饭
bmg	闭门羹
bmm	白茫茫
bmq	罢免权
bmv	不买账	北美洲
bmx	保密性
bnb	不能不
bnd	本年度
bnf	不耐烦
bnm	巴拿马
bnt	编年体
bpc	半瓶醋
bpt	爆破筒
bpv	不排除
bpz	爆破组
brr	不让人	不认人	不饶人
brx	必然性	包容性
bsh	不是很
bsj	波斯菊
bsm	不是吗	俾斯麦
bsq	变速器
bss	白森森
bsz	卜算子
btn	拜托你
buy	不适应
bvn	表侄女
bvz	不知足
bwc	霸王餐	保温层
bwh	不外乎
bwj	拜物教
bwk	保卫科
bwm	半文盲
bww	别问我	不枉我	布娃娃
bwy	博物院
bxc	包心菜
bxr	保险人
byh	边缘化
byi	表演唱
bys	表演赛
bzv	编组站
cah	残奥会
cbb	蚕宝宝
cbs	才不是
cbt	猜不透
ccr	草苁蓉
cdb	测电笔
cdd	粗墩墩
cdj	CD机	磁带机
cdz	草垫子
cec	刺儿菜
cfp	裁缝铺
cfz	凑份子
cgt	参观团
cgv	磁共振
cgy	磁感应
chp	彩虹屁
chx	词汇学
cii	存车处
cik	存储卡
cjp	促进派
cjr	残疾人
cjs	葱姜蒜
cjv	餐巾纸
cjx	刺激性
ckx	参考系
cky	才可以	采矿业
cli	材料厂
clj	测力计
clr	村里人
cls	草绿色
cmb	参谋部
cmg	催命鬼
cmh	草木灰
cmt	侧面图
cmu	催眠术
cmv	参谋长
cnm	草泥马	操你妈
cpv	裁判长
cpy	裁判员
cqg	存钱罐
cqi	菜青虫
cqj	此期间	磁倾角
cqr	词嵌入
crn	凑热闹
ctb	错题本
ctj	错题集	催吐剂
ctl	磁通量
ctw	村通网
cuh	草珊瑚
cui	菜市场
cul	藏书楼
cut	侧视图
cuu	脆生生
cvp	粗制品
cvq	参政权
cvt	财政厅
cvw	参照物
cvx	参照系
cwd	错误的
cwk	财务科
cwu	财务室
cxg	雌小鬼
cxl	词向量
cxt	粗线条
cxw	粗纤维
cyh	参议会
cym	曾用名
cyu	此一时
cyv	从业者
cyz	菜园子	撮一撮
czf	操作符
czl	存在了
czu	操作数
czx	操纵性
czy	操作员
dah	冬奥会
dam	地安门
daz	德昂族
dba	多巴胺
dbw	大比武
dcb	电磁波
dcc	低层次
dce	带刺儿
dcg	打草稿
dci	电磁场
dcr	稻草人
dct	电磁铁
dcx	电磁线
dcy	大草原
ddb	党代表
dde	打盹儿
ddg	打短工
ddi	电动车
ddj	电动机
ddk	地对空
ddm	大动脉	担担面
ddr	当地人
dds	打哆嗦
ddy	大电影	地动仪
del	第二轮
det	第二天	德尔塔
dev	开发者	第二种
dew	第二位
dex	第二性
dey	第二页	第二眼
dfe	丢份儿
dfp	豆腐皮
dfz	大分子
dgj	地锅鸡
dgl	大概率	大功率
dgr	德国人
dgt	跌跟头
dgx	等高线
dgy	地沟油
dhj	打火机
dhk	对话框
dhp	动画片	大红袍
dhq	打哈欠
dht	大后天
dhv	到会者
dhx	导火线
dhz	大胡子
dib	低成本
dif	蛋炒饭
dim	倒插门
dit	底朝天
djb	登记表	单肩包	单机版
djd	打交道
djm	大静脉
djp	挡箭牌
djs	大奖赛
djw	东京湾
djx	对角线
djy	等价于	都江堰
dke	笛卡尔
dkh	大括号
dki	大客车
dlf	代理费
dli	独轮车
dln	地拉那
dmg	大满贯
dmh	大明湖
dmj	独幕剧
dmr	大忙人
dmt	多媒体	多模态	多面体
dmu	多面手
dmv	大拇指
dmx	大模型
dnb	挡泥板
dnf	东南风
dni	电脑城
dnj	低年级
dnl	多年来
dnu	斗牛士
dnw	逗你玩
dnz	动脑子
dpi	电瓶车
dpk	短平快
dpl	得票率
dpm	大屏幕
dqd	多渠道
dqe	逗趣儿
dqf	盗窃犯
dqn	短期内
dqp	当权派
drb	电热杯
drf	大润发
drg	大染缸
drn	地热能
drq	电热器
drt	大热天	电热毯
drw	大人物
drx	得人心
drz	电褥子
dsc	第三次	第四次
dsh	的时候	到时候
dsi	大扫除
dsl	第三轮
dsm	第三名
dsp	打算盘
dsz	大嫂子
dtc	大头菜
dtd	带徒弟
dtf	打头风
dtg	打通关
dtj	大团结
dtp	打头炮
dtr	带头人
dtz	独体字
duc	多少次
due	大婶儿
dug	多少个	大使馆
dul	大赦令
dun	迪士尼	多少年
dup	打水漂
dut	电视台
duv	董事长
duz	独生子
dvf	大丈夫
dvj	弹指间
dvk	打折扣
dvp	豆制品
dvv	打转转
dvw	动植物
dwb	德文版
dwc	第五次
dwe	对味儿	大腕儿	短吻鳄
dwf	抖威风
dwg	单位根
dwh	党委会
dwi	大碗茶
dwm	对我们
dwp	电蚊拍
dwq	大湾区	电位器
dws	毒瓦斯
dwu	多位数
dxc	灯心草
dyh	多元化	多样化	等一会
dyj	打印机	大妖精
dyk	弹药库
dym	第一名	第一面	大银幕
dys	递眼色
dyt	第一天	钓鱼台
dyu	第一手
dyx	等一下	打游戏
dzb	电子表	大字报	大资本
dze	肚子饿
dzf	弹子房
dzg	电子管
dzi	电子厂
dzk	丁字裤	大字库
dzs	淡紫色	大赠送
dzt	大总统
dzu	电子书
dzx	电子学
dzz	大动作	刀子嘴
ebx	二不休
ecf	二次方
edu	二段式
edv	二地主
edx	二叠系
edy	耳朵眼
efd	二房东
efg	阿房宫
egd	二哥大
egr	俄国人
egs	恩格斯
ejg	二极管
eju	已经是
eks	Excel
elb	二〇八
eli	鄂伦春
elj	二〇九
ell	二〇六
elq	二〇七
elw	二〇五
emj	二面角
ert	二人台
erv	二人转
esj	耳塞机
esz	二三子
ett	儿童团
etx	儿童学
euh	二手货
evm	二周目
ewd	额外的
ewu	耳挖勺
ewz	耳挖子	二五仔
exf	儿媳妇
exu	二项式
exx	二象性	耳下腺
eyg	耳咽管
eyl	二元论
eys	二元酸
eyw	鄂豫皖	诶呦喂
eyx	二义性
fal	发案率
fbh	发布会
fbj	发报机
fbr	发包人
fbt	副标题
fbz	诽谤罪
fcc	分层次
fcw	犯错误
fdb	辅导班
fdc	发大财
fdh	负电荷
fdq	放大器
fds	防盗锁
fdt	非导体
fdv	犯得着
fej	伏尔加
fet	伏尔泰
ffj	防腐剂
ffl	方法论
fgc	风滚草
fgg	腹股沟
fgj	房管局
fgr	法国人
fgw	发改委
fhd	服化道
fhf	复合肥
fhi	符号串
fhs	复活赛
fhu	反函数
fhx	缝合线	复合型
fip	副产品
fit	非传统
fiw	副产物
fiy	翻车鱼
fiz	方程组
fji	飞机场
fjq	风景区
fjr	福建人
fju	福建省
fjv	附加值
fkb	防空兵
fkc	发刊词
fkf	封口费
fkh	方括号
fkt	方框图
flg	防蓝光
flj	费老劲	放冷箭	法律界
flk	法兰克	弗兰克
flr	法兰绒
flt	翻了天	非流通	分馏塔
flu	分列式
flv	分裂症	珐琅质
fmb	犯毛病
fmh	犯迷糊
fmj	发明家
fmu	分明是
fmv	发明者
fnb	疯牛病
fnw	放牛娃
fpf	分配阀
fpp	粉扑扑
fpv	废品站
fpz	覆盆子
fqr	发起人
fqx	反倾销
frg	法人股
fri	非日常
fry	疯人院
frz	非人哉
fsd	发生的	分散度
fsg	复色光
fsh	风俗画
fsj	粉碎机
fst	仿宋体
ftf	肥田粉
fth	法塔赫
ftl	反推力
ftn	芬太尼
ftp	佛跳墙
ful	分水岭	番石榴
fux	放射性
fvd	分至点
fve	分之二
fvg	发展观
fvi	纺织厂
fvj	纺织机
fvk	风疹块
fvn	非智能	分钟内	纺织娘
fvp	纺织品
fvr	负债人
fvs	分之三	分之四
fvw	附着物
fvz	反质子
fwb	服务部
fwc	方位词
fwj	蜂王浆
fwm	蜂窝煤
fwn	犯为难
fwv	反物质
fwx	服务性
fwy	服务员
fxk	复选框
fxr	负心人
fxt	芳香烃
fxv	副县长
fxz	风信子
fyb	防雨布	放一边
fyi	放映场
fyp	仿羊皮
fyu	放映室
fyv	防疫站
fyy	发源于	发语音
fyz	飞叶子
fzd	复杂度
fzl	副总理
fzp	肥皂泡
fzt	副总统
fzu	分子式
gab	公安部
gaj	公安局
gas	谷氨酸
gbw	官本位
gcb	公测版
gcc	高层次
gcf	构词法
gcv	观测站
gcy	高层云
gdb	高蛋白
gde	骨朵儿
gdf	鬼地方
gdg	高低杠
gdh	挂电话
gdi	干电池
gdj	供电局
gdr	滚刀肉	广东人
gdw	各单位
ged	共轭点
gef	高尔夫
gez	干儿子
gfb	国防部
gff	国防费
gfj	鼓风机
gfp	功夫片
gfr	贵妇人
gfu	公费生
gfy	光反应
gfz	高分子
ggd	怪怪的	感光度
ggh	刚果红
ggj	骨骼肌	呱呱叫
ggn	乖乖女	肝功能
ggp	感光片
ggv	观光者	搞搞震
ggy	归功于
ghb	高回报
ghd	共和党	干得好
ghe	过会儿
ghf	鬼画符
ghh	骨灰盒	鬼画糊
ghk	更何况
ghl	搞混了
ghq	高寒区
ghy	各行业
ghz	古惑仔	刮胡子
gii	工程车
gim	干吃面
gip	观潮派
gis	观察所
git	git	高产田
gix	工程学
giy	观察员
gjc	关键词	供给侧
gjd	根据地
gje	够劲儿
gjf	公检法	过节费
gjl	攻击力
gjq	轨迹球
gjr	工具人
gjx	工具箱
gjy	关节炎
gkl	怪可怜
glc	芥蓝菜
gld	高利贷
glh	规律化
glp	改良派
glq	管理器
glt	过两天
glu	橄榄石
glx	规律性
glz	仡佬族
gmc	灌木丛
gmf	归谬法
gmh	规模化
gmj	革命家
gmp	革命派	古墓派
gmr	郭沫若
gmz	给面子
gnb	工农兵
gnc	国难财
gne	干女儿
gnf	归纳法
gnh	高能耗
gnj	功能键	功能机	跟你讲
gnl	归你了	给你了
gnt	官能团
gnu	弓弩手
gny	工农业
gph	搞破坏
gqf	国旗法
gqq	钢琴曲
grl	感染力
grq	过热器
grt	固溶体
grw	赶任务
gsk	哥萨克
gsm	干什么	搞什么
gsq	钢丝球
gsr	甘肃人
gsu	甘肃省
gsy	硅酸盐
gte	个头儿
gtg	高碳钢
gtq	国统区
gtu	共同社
gtx	共同性
gty	共同语
guh	格式化	公式化
gui	过山车
gum	赶时髦
gup	高水平
guq	感受器
gur	高收入
gux	观赏性
guy	观世音
guz	高山族
gvc	鬼针草
gvl	高质量
gvq	公债券
gvr	贵州人
gvu	贵州省
gvw	胳肢窝
gvy	更重要
gwc	狗尾草
gwd	高纬度
gwe	够味儿
gwg	过五关
gwh	管委会
gwj	港务局
gwl	归我了
gwp	歌舞片
gwq	国务卿
gwz	古文字
gxb	冠心病
gxd	关系到
gxf	高消费
gxg	共析钢
gxi	肝吸虫
gxj	干血浆
gxp	革新派
gxr	广西人
gxs	干休所
gxt	观象台
gxw	关系网
gxy	高血压	更需要	管弦乐
gxz	工薪族
gyn	圭亚那
gys	够意思
gyw	广域网
gyz	锅烟子
gzd	工作队
gzf	工作服
gzg	够资格
gzj	干燥剂
gzm	工作面
gzr	工作日
gzt	高姿态
gzy	归罪于
gzz	工作组
had	海岸带
hau	毫安时
hbp	黑白片
hbs	还不是
hcc	黄灿灿
hcl	黑材料
hcu	何曾是
hcx	何曾想
hcy	喉擦音
hdb	合订本	画大饼
hdd	好端端	黄澄澄	黄赌毒
hdf	活动房
hdg	核大国
hdj	蝴蝶结
hdk	红点颏
hdm	横断面
hdp	幻灯片
hdq	红灯区
hdu	还得是
hem	荷尔蒙
hfg	花粉管
hfh	合法化
hfp	护肤品
hfu	核辐射
hfv	黑非洲
hfw	挥发物
hfy	挥发油
hfz	坏分子
hge	黑格尔
hgi	化工厂
hgj	烘干机
hgn	灰姑娘
hgs	核苷酸
hgx	回归线
hgy	花岗岩
hhc	黄花菜
hhe	好好儿
hhn	活化能
hhq	混合器
hhx	互换性
hia	合成氨
hic	合成词
hie	话茬儿
hit	火车头
hjc	好几次
hjg	后脚跟	活见鬼
hjl	好极了	含金量
hjp	火箭炮
hjt	好几天
hju	候机室
hjz	花架子
hkf	后空翻
hkh	花括号
hkq	航空器
hlb	胡萝卜
hld	红绿灯	惠灵顿
hle	海拉尔
hlf	活雷锋
hlk	海陆空
hln	火烈鸟
hlr	后来人
hlt	昏了头
hlw	互联网	好莱坞
hme	黑木耳
hml	宏命令	红美铃
hmt	河漫滩
hmu	黑墨水
hmz	红帽子
hnh	华南虎
hnp	贺年片
hnr	河南人	湖南人	海南人
hnx	海南戏
hph	后怕虎
hpq	混频器
hps	琥珀酸
hpx	海平线
hqb	后勤部
hqe	好气儿	霍青娥
hqj	活全家
hqm	横切面
hqs	很轻松	花青素
hqz	后勤组
hrl	核燃料
hrt	怀仁堂
hrz	好日子
hsk	哈萨克
hsp	贺岁片
htb	航天部
htd	黄土地
htp	黄土坡
htq	航天器
htv	航天站
htx	后天性
hty	绘图仪	和田玉
hub	寒暑表
hud	华盛顿
huq	哈士奇	回收期
huu	活生生
hvp	化妆品
hvu	或者说
hvv	红蜘蛛
hvz	互助组	汗珠子
hwe	好玩儿
hwh	环委会
hwj	好望角
hwt	环烷烃
hxc	含羞草
hxd	后现代
hxe	混血儿
hxj	滑翔机
hxt	活性炭
hxv	回形针
hyc	花椰菜
hyd	好样的
hyj	还原剂
hyk	会员卡
hym	还有吗	薅羊毛
hyr	黑衣人
hyt	合议庭
hyu	会议室
hyx	好一些	换一下
hyz	旱鸭子
hzb	横坐标
hzd	活字典
hzg	很糟糕
hzi	火葬场
hzl	后坐力
hzt	孩子头
hzu	合作社
hzw	孩子王
ibe	成本额
ibw	出版物
icj	除草剂
icl	出错了
idb	充电宝
ide	差点儿
idf	臭豆腐
idh	吃大户
idr	成都人
idt	超导体
idv	充电桩	传动轴
idw	超低温
idy	差得远
idz	出点子
ifd	出发点	唱反调
ifh	超负荷
ifj	吹风机
ift	出风头
ifx	长方形
ify	处方药
igd	唱高调
igl	成功率	车轱辘
igq	传感器
ihd	闯红灯
ihe	创汇额
ihl	成活率
iix	尝尝鲜
ijb	冲击波	传家宝
ije	冲劲儿
ijg	成就感
ijl	成交量	冲击力	长颈鹿
ijr	出家人
ijw	沉积物
ike	出口额
iku	出口商
ild	船老大
ilg	陈列馆
ilu	常绿树
ilz	车厘子	出乱子
imb	触摸板	出毛病
ime	串门儿
imf	车马费
imj	赤霉菌
iml	重码率
imq	出满勤	赤蛮奇
imr	长毛绒
ims	赤霉素
imt	长毛兔
imx	长毛象
ind	处女地
int	出难题
iny	出纳员
ipe	唱片儿
ipl	成品率
iqe	出圈儿
iqh	拆迁户
iqq	串亲戚
iqr	重庆人
iqx	长期性
iqy	爱奇艺
irh	成人化
irr	产褥热
iry	传染源
isn	重孙女
itf	穿堂风
ith	常态化
itj	铲土机
itw	长筒袜
iuf	长舌妇
iuh	初始化
iuk	超时空
iul	出生率
ivt	差转台
iwb	纯文本	超文本
iwi	超外差
iwm	崇文门
iwv	绸纹纸
iwy	乘务员
ixh	程序化	畅销货
ixi	吃现成
ixk	储蓄卡
ixm	肠系膜
ixr	出血热
iyc	臭氧层
iyi	尝一尝	铲运车
iyj	柴油机
iyq	吃一堑
iyr	承运人
iyu	倡议书
iyv	创业者
iyx	成瘾性	出洋相
iyy	炒鱿鱼
izi	出租车
izr	超自然
izy	沉醉于	吹奏乐
jbb	紧巴巴	紧绷绷
jbc	基本词
jbd	见不到	见不得
jbj	肩并肩
jbm	聚苯醚
jbp	聚宝盆
jbr	接班人
jbs	绝不是	锦标赛
jbt	吉布提
jbw	金本位
jbz	脚脖子
jdb	脚底板
jdi	机动车
jdt	进度条
jdw	井底蛙
jdz	金点子
jea	就是啊
jed	就是得
jeh	就是好	京二胡
jei	假恶丑
jel	就是了
jen	就是你
jet	就是他	就是她	基尔特
jeu	就是说
jev	就是这
jew	就是我
jex	就是想	就是像
jey	就是要
jez	就是在
jfb	积分榜	计分表
jfh	解放后
jfi	缴费处
jfw	金饭碗
jfy	经风雨
jgb	极个别	金箍棒	激光笔
jgd	聚光灯
jhc	金花菜
jhd	较好地	交汇点	救护队
jhe	绝活儿
jhf	季候风
jhh	金合欢
jhk	军火库
jhn	计划内
jhq	净化器
jhs	金黄色	季后赛
jhw	计划外	聚合物
jii	计程车
jij	警察局
jje	较劲儿
jjp	激进派
jkh	进口货
jkr	健康人
jkw	教科文
jkx	杰克逊	健康险
jld	家里蹲	交流电	金銮殿
jlf	节流阀
jlh	交流会
jlj	教练机
jlk	居留卡
jlm	卷帘门
jln	近两年
jlq	居留权
jls	降落伞
jlt	交流团	截了图
jlu	吉林省
jlx	纪律性
jly	教练员
jlz	举例子
jmc	健美操
jmr	掘墓人
jms	佳木斯
jmv	几秒钟
jnd	加拿大
jnr	纪念日
jns	吉尼斯
jny	几内亚
jnz	基诺族
jpi	吉普车
jps	吉普赛
jpv	柬埔寨
jpx	紧迫性
jpz	景颇族
jql	进去了
jqp	剧情片
jqq	静悄悄
jqu	精气神	举起手	剧情杀
jqy	腱鞘炎
jrh	尖锐化
jrx	兼容性
jsb	加速泵
jsd	加速度	集散地
jsg	就算个
jsi	计算尺
jsp	惊悚片	绞丝旁
jsr	江苏人
jst	计算题
jsv	近似值
jsy	金丝燕
jtj	交通局
jtl	景泰蓝
jtn	几天内
jtx	警惕性
jtz	简体字
jub	记事本
juf	健身房
jun	几十年
juq	解释器
juv	救世主
juy	驾驶员
jvp	精制品
jwq	界外球
jxb	进修班
jxl	接下来
jxr	江西人
jxu	江西省
jxw	吉祥物
jxx	局限性	间歇性	假惺惺
jxz	急性子
jyb	进一步
jyc	近义词
jyf	九月份
jyh	交易会	金银花
jyj	教育局
jyl	记忆力
jyt	绝缘体
jyv	加油站
jyw	局域网
jyx	加一下
jzf	检字法
jzh	架子花
jzi	架子车
jzm	就怎么
jzq	间奏曲
jzu	尖子生
jzv	剧作者
jzx	节奏性
kbs	可不是
kce	康采恩
kcq	开采权
kdh	肯定会
kdj	肯德基	看得见
kdk	开裆裤
kdw	宽带网
kdx	可读性	扛得下
kfg	咖啡馆
kfh	咖啡壶
kfk	卡夫卡
kfs	咖啡色
kgc	可观测
kgd	考古队
kgf	控股方
kgt	啃骨头
kgu	客观上
kgw	抗高温
khh	苦哈哈	开户行
khk	夸海口
khq	开花期
khy	跨行业
kit	考察团
kiu	苦差事
kjb	空降兵
kjd	可见度
kjp	科教片
kjs	抗菌素
kju	会计师
kjv	会计证
kjx	会计学
kjy	科技园
kjz	空架子
kkd	开阔地
kkg	开口跪
kki	开快车
kky	可卡因
kkz	空壳子
klb	可丽饼
kld	开绿灯	考虑到
klp	刻录盘
kmc	开幕词
kme	抠门儿
knj	可能就
knt	Keynote
kpt	跨平台
kqj	开区间
kqw	孔雀舞
kqy	烤全羊	跨区域
krx	可溶性
kst	喀斯特
ksw	科索沃
ktb	空调病
ktq	空调器
ktx	开拓型
kud	空手道	跨时代
kuw	枯水位
kvl	卡住了	控制论	空置率
kvm	扩展名
kvp	抗震棚
kvq	控制器
kwe	可望而
kwu	可谓是
kwy	矿物油
kxd	可信度
kxh	看笑话
kxm	凯旋门	空心面
kxn	苛性钠
kxq	狂想曲
kxt	口香糖
kxv	空心砖
kxy	科学院
kxz	开小灶
kyh	抗氧化
kyj	可预见	开眼界	括约肌
kym	可以吗	宽银幕
kyw	可以为
kyy	看一眼
lad	罗安达
lbb	冷冰冰
lbd	了不得	轮不到	冷不丁
lbe	老伴儿
lbf	冷不防
lbj	来不及	零部件
lbk	离不开
lbl	累不累	来不来	冷不冷
lbv	留不住	腊八粥
lbw	两不误
lbx	老百姓
lby	利比亚
lbz	老鼻子	珞巴族
lci	冷藏车
lcu	冷藏室
lde	脸蛋儿
ldi	落地窗
ldj	来得及	劳动局	老大姐
ldp	榴弹炮	立刀旁
ldr	领导人
ldu	落地式
lfg	卢浮宫
lfu	量贩式
lfy	理发员
lgi	类固醇
lgn	老姑娘
lgu	零关税
lgx	劣根性
lhg	联合国
lhh	乐呵呵	乱哄哄
lhj	老花镜	老虎机	连环计
lhm	癞蛤蟆
lhp	来回票
lhq	零花钱
lhr	老好人
lht	拉后腿	老糊涂
lhv	兰花指
lhz	拉祜族
lib	里程碑
lit	流程图
ljb	廉价版
ljd	垃圾袋	落脚点
ljf	龙卷风
ljh	两句话	老江湖
ljj	辣椒酱	亮晶晶
ljl	理解力
lju	累计数
ljv	拉锯战	临界值
ljx	逻辑性	垃圾箱
ljz	尥蹶子
llp	拉郎配
llt	聊聊天	洛丽塔
llw	联络网	琉璃瓦
llx	理论性
lly	联络员
lmd	灵敏度
lmk	零门槛	老面孔	联名卡
lmm	两茫茫	路漫漫	老妈妈
lmp	两面派
lmq	老母亲	浪漫曲
lmt	流媒体	六面体
lmu	两码事	罗曼史
lnj	利尿剂
lnn	老奶奶
lnu	辽宁省
lnv	路怒症
lpt	拉皮条	莲蓬头
lpu	蓝皮书
lpz	老婆子
lqb	老前辈
lqd	冷启动
lqx	录取线	两栖型
lrb	老人斑
lry	类人猿
lsb	卢森堡	里斯本
lsc	两三次
lsd	螺丝刀	两三点
lsl	累死了
lst	两三天	罗宋汤
lsz	傈僳族
ltj	落汤鸡
ltk	楼梯口
ltr	领头人
lts	擂台赛
lug	临时工	落水狗
luj	洛杉矶
lum	罗生门
luq	了上去
lur	老实人
lvn	两周年	笼中鸟
lvt	零状态
lvu	两只手
lwb	露尾巴
lwf	劳务费
lwg	老顽固
lwh	陆委会
lwp	利物浦
lwt	老顽童
lwy	阑尾炎
lxb	练习簿	流行病
lxc	龙须菜
lxd	联想到	录像带
lxe	露馅儿
lxg	老戏骨	理想国
lxm	龙须面
lxr	联系人
lyd	老一代	录音带	利雅得
lyf	六月份	晾衣服
lyj	录音机
lze	遛早儿
lzv	零增长
max	马鞍形
mbh	没变化	猫薄荷	迈巴赫
mbi	末班车	面包车
mbm	忙不忙	买不买
mbp	鸣不平	慢半拍
mbs	莫不是
mbz	毛笔字	抹脖子
mce	没错儿
mcl	摩擦力
mcp	买彩票
mdf	没地方	磨豆腐
mdi	马黛茶
mdj	没多久	满大街	牡丹江
mdq	买得起
mdu	磨刀石
mdy	卖队友	棉大衣
med	猫耳朵
mfb	没法比	免费版	麻风病
mfe	没法儿
mfh	满负荷
mfn	麻烦你
mfq	密封圈
mfu	莫非是	魔法师	麻烦事
mfw	马蜂窝
mfz	没法子
mgb	蒙古包
mgg	蒙古国
mgs	玫瑰色
mgx	没关系
mgz	每个字	命根子
mhd	曼哈顿
mhs	米黄色
mhu	没话说
mhw	美猴王
mhz	毛孩子
mij	秒出警
mjb	毛巾被
mjt	没几天
mjz	摩羯座	慢节奏
mkd	没看到	没看懂
mlb	马路边	煤老板
mlt	麻辣烫
mme	没门儿
mmj	明明就
mmk	慢慢看	棉毛裤
mml	慢慢来
mmm	某某某	喵喵喵	买买买
mmq	默秒全
mmr	某某人	茫茫然
mmw	命名为
mmx	密码学
mnj	摩尼教
mnm	没那么
mpf	毛坯房
mqb	没区别
mqh	母亲河
mqj	母亲节
mqt	没前途
mqv	煤气站
mrt	名人堂
mru	默认是	美容师
msd	没事的
msg	没事干
msj	没时间
msm	没什么
msy	弥赛亚
msz	摩梭族	马上做
mtc	满堂彩
mtn	没头脑
mtv	描图纸
mun	美少女
mup	名士派
muq	卖身契
mur	陌生人
muu	魔术师
mvi	没支持
mvn	忙着呢
mvr	魔怔人
mwb	马尾辫
mwn	魔物娘
mwx	冥王星
mxf	没想法
mxj	冒险家	抹香鲸
mxs	没心思
mxt	马戏团
mxw	没希望	没下文	毛血旺
mxx	没信心	冒险性
mye	贸易额
myh	每一行
nbb	暖宝宝	蔫巴巴
nbs	那不是
nby	努比亚
ncb	内测版
nct	内存条
nde	那点儿
ndf	那地方	那顿饭	闹洞房
ndm	年代末
ndr	那当然
ndt	拿大头
ndv	耐得住	拿得准	尿毒症
ndx	能动性
ndz	闹肚子
neg	女儿国
nej	你已经
nel	娘儿俩
nem	娘儿们
nfj	暖风机
nfy	逆反应
ngd	尼古丁
nge	脑瓜儿
ngj	凝固剂
ngu	农工商
ngv	内阁制
ngy	男高音
nhd	霓虹灯
nhj	黏合剂
nhs	牛磺酸
nhu	那回事
nhv	脑海中
nhx	耐寒性
nie	弄潮儿
nii	怒冲冲
niv	农场主
nje	那就是
njf	农家肥
njq	南极圈
njs	那就算
njt	那几天
nju	那件事	哪件事
njx	耐久性
njz	拿架子
nkk	你看看
nks	尼克松	那可是
nkz	尿裤子
nlg	那两个
nlh	尼罗河
nln	捏了捏
nls	浓硫酸	尼龙丝
nlu	尼龙绳	牛栏山
nlw	尼龙袜
nlx	牛郎星
nly	哪里有
nme	纳闷儿
nmh	那么好	那么坏
nmq	农牧区
nms	柠檬酸
nmw	牛魔王
nmx	匿名信
nnd	奶奶的
nnv	农奴制
npe	尼泊尔
npj	年平均
nps	泥菩萨
npv	牛皮纸
nqp	暖气片
nrg	牛肉干
nrj	内燃机
nsh	那时候
nsu	年三十
nte	年头儿
ntm	你他妈	你特么	你他喵
ntq	那天起
ntv	女同志	男同志
ntz	泥腿子
nuj	脑神经	女生节
nuk	那时快
nul	泥石流
nup	暖水瓶
nuq	闹市区
nur	纳税人
nuv	逆时针
nux	拿手戏
nve	那阵儿
nvf	农转非
nvj	女主角	男主角	年终奖
nvl	黏着力
nvn	那只能
nvp	奶制品
nvr	女主人	男主人
nwb	内务部
nwh	奈我何
nwj	女玩家	男玩家	泥瓦匠
nyc	那一次	哪一次
nyp	那一片	耐用品
nys	奶油色
nyz	那样子
nzg	内增高
ofs	Office
ogt	欧共体
ohu	偶函数
olb	欧罗巴
opk	欧佩克
orx	偶然性
pay	平安夜
pbf	漂白粉
pbh	瀑布汗
pbi	平板车
pbj	漂白剂
pbq	赔不起
pbs	怕不是	赔不是
pbv	拍巴掌
pby	漂白液
pdd	拼多多	胖嘟嘟	胖墩墩
pde	胖墩儿	屁颠儿
pdf	PDF	破大防
pdj	判断句
pdt	拍大腿
pdx	平底鞋
pei	普洱茶
pfg	平方根
pfh	平方和
pfq	喷粉器
pfu	批发商
pgj	凭感觉
pgv	旁观者
pgy	蒲公英
